"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2026";"0000";"18,2";"18,4";"17,9";"92,0";"92,0";"92,0";"16,9";"17,1";"16,5";"918,3";"918,3";"917,2";"2,5";"7,0";"7,4";"";"2,8"
"01/04/2026";"0100";"18,0";"18,2";"17,6";"92,0";"92,0";"91,0";"16,8";"16,9";"16,2";"918,6";"918,6";"918,3";"0,6";"97,0";"7,4";"";"6,8"
"01/04/2026";"0200";"18,1";"18,1";"18,0";"93,0";"93,0";"92,0";"16,8";"16,9";"16,7";"918,4";"918,9";"918,4";"0,9";"121,0";"4,5";"";"0,0"
"01/04/2026";"0300";"18,0";"18,1";"17,9";"93,0";"93,0";"93,0";"16,8";"16,9";"16,7";"918,0";"918,4";"918,0";"0,0";"186,0";"1,9";"";"0,0"
"01/04/2026";"0400";"17,8";"18,0";"17,8";"93,0";"93,0";"93,0";"16,7";"16,8";"16,6";"918,0";"918,1";"917,9";"0,3";"98,0";"1,5";"";"0,0"
"01/04/2026";"0500";"17,9";"18,1";"17,6";"92,0";"93,0";"92,0";"16,7";"16,9";"16,4";"917,4";"918,0";"917,4";"1,0";"132,0";"2,4";"";"0,0"
"01/04/2026";"0600";"17,5";"18,1";"17,0";"92,0";"92,0";"92,0";"16,2";"16,8";"15,7";"917,1";"917,4";"917,0";"0,2";"51,0";"2,6";"";"0,0"
"01/04/2026";"0700";"17,9";"18,3";"17,4";"90,0";"92,0";"90,0";"16,3";"16,8";"16,1";"917,0";"917,1";"917,0";"1,7";"105,0";"4,1";"";"0,0"
"01/04/2026";"0800";"18,0";"18,1";"17,9";"90,0";"91,0";"90,0";"16,5";"16,6";"16,3";"917,1";"917,2";"917,0";"1,4";"106,0";"4,5";"";"0,2"
"01/04/2026";"0900";"18,2";"18,2";"17,9";"90,0";"91,0";"90,0";"16,6";"16,6";"16,4";"917,6";"917,7";"917,1";"1,5";"102,0";"4,3";"";"0,0"
"01/04/2026";"1000";"19,3";"19,3";"18,1";"86,0";"90,0";"86,0";"16,9";"17,0";"16,5";"918,2";"918,3";"917,6";"1,0";"101,0";"3,3";"152,90";"0,0"
"01/04/2026";"1100";"20,8";"20,9";"19,2";"84,0";"87,0";"82,0";"17,9";"18,4";"16,9";"919,0";"919,0";"918,2";"0,3";"76,0";"4,1";"704,10";"0,0"
"01/04/2026";"1200";"23,2";"23,2";"20,6";"79,0";"85,0";"78,0";"19,4";"19,4";"17,3";"919,4";"919,4";"919,0";"0,7";"70,0";"3,9";"1152,30";"0,0"
"01/04/2026";"1300";"22,3";"23,7";"22,3";"76,0";"79,0";"70,0";"17,9";"19,3";"17,3";"919,8";"919,8";"919,4";"2,0";"36,0";"5,4";"1504,60";"0,0"
"01/04/2026";"1400";"24,6";"25,0";"22,2";"70,0";"79,0";"67,0";"18,8";"19,7";"17,4";"919,4";"919,8";"919,4";"1,9";"38,0";"5,4";"1746,20";"0,0"
"01/04/2026";"1500";"25,8";"26,8";"24,5";"63,0";"71,0";"59,0";"18,2";"20,3";"17,8";"918,7";"919,4";"918,7";"1,2";"26,0";"4,6";"2626,80";"0,0"
"01/04/2026";"1600";"24,8";"26,6";"24,3";"67,0";"72,0";"61,0";"18,3";"20,4";"17,2";"918,0";"918,7";"918,0";"1,2";"7,0";"3,6";"1368,10";"0,0"
"01/04/2026";"1700";"24,7";"26,7";"24,7";"71,0";"72,0";"62,0";"19,0";"20,2";"17,9";"917,1";"918,0";"917,1";"1,0";"323,0";"4,5";"1387,20";"0,0"
"01/04/2026";"1800";"24,9";"25,3";"24,2";"70,0";"74,0";"66,0";"19,0";"19,8";"18,5";"916,7";"917,1";"916,7";"0,7";"355,0";"4,0";"1038,00";"0,0"
"01/04/2026";"1900";"24,0";"24,9";"23,0";"69,0";"76,0";"68,0";"17,9";"19,1";"17,3";"916,9";"916,9";"916,6";"1,2";"41,0";"5,0";"894,30";"0,0"
