"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2026";"2000";"20,6";"24,1";"20,4";"88,0";"88,0";"67,0";"18,6";"18,6";"17,3";"917,3";"917,5";"916,9";"0,1";"104,0";"6,2";"447,20";"0,4"
"01/04/2026";"2100";"20,5";"20,9";"20,4";"91,0";"91,0";"88,0";"19,0";"19,0";"18,6";"918,1";"918,2";"917,1";"0,3";"37,0";"2,2";"152,90";"0,2"
"01/04/2026";"2200";"19,6";"20,5";"19,5";"88,0";"91,0";"87,0";"17,5";"18,9";"17,4";"918,5";"918,5";"918,1";"0,9";"106,0";"5,7";"";"0,0"
"01/04/2026";"2300";"19,8";"19,8";"19,3";"86,0";"89,0";"86,0";"17,3";"17,6";"17,1";"918,8";"918,8";"918,4";"1,2";"118,0";"4,0";"";"0,0"
"02/04/2026";"0000";"20,2";"20,2";"19,2";"84,0";"88,0";"84,0";"17,4";"17,6";"17,0";"919,2";"919,2";"918,7";"1,0";"110,0";"3,9";"";"0,0"
"02/04/2026";"0100";"19,9";"20,3";"19,9";"85,0";"85,0";"83,0";"17,3";"17,4";"17,2";"919,4";"919,4";"919,2";"0,7";"94,0";"3,4";"";"0,0"
"02/04/2026";"0200";"19,8";"19,9";"18,7";"87,0";"90,0";"85,0";"17,5";"18,0";"16,7";"919,3";"919,6";"919,3";"1,1";"98,0";"3,8";"";"0,0"
"02/04/2026";"0300";"20,0";"20,1";"19,7";"86,0";"87,0";"85,0";"17,5";"17,6";"17,3";"919,5";"919,6";"919,3";"1,0";"103,0";"3,8";"";"0,0"
"02/04/2026";"0400";"20,0";"20,0";"19,6";"86,0";"87,0";"85,0";"17,6";"17,6";"17,3";"919,3";"919,6";"919,3";"0,8";"104,0";"2,8";"";"0,0"
"02/04/2026";"0500";"19,7";"20,1";"19,7";"86,0";"87,0";"85,0";"17,4";"17,6";"17,3";"918,9";"919,4";"918,9";"0,8";"118,0";"3,4";"";"0,0"
"02/04/2026";"0600";"19,6";"19,9";"19,4";"87,0";"87,0";"86,0";"17,4";"17,5";"17,2";"918,1";"918,9";"918,1";"1,1";"105,0";"3,5";"";"0,0"
"02/04/2026";"0700";"19,5";"19,8";"19,3";"88,0";"88,0";"86,0";"17,4";"17,5";"17,2";"918,1";"918,3";"918,1";"1,3";"110,0";"3,5";"";"0,0"
"02/04/2026";"0800";"19,6";"19,6";"19,3";"87,0";"89,0";"87,0";"17,4";"17,6";"17,3";"918,3";"918,3";"918,0";"1,2";"107,0";"3,5";"";"0,0"
"02/04/2026";"0900";"19,2";"19,6";"19,1";"89,0";"89,0";"87,0";"17,3";"17,4";"17,1";"918,6";"918,6";"918,3";"1,3";"104,0";"3,1";"";"0,0"
"02/04/2026";"1000";"20,2";"20,2";"19,0";"86,0";"89,0";"86,0";"17,8";"17,8";"17,1";"919,0";"919,0";"918,6";"1,6";"114,0";"3,8";"66,50";"0,0"
"02/04/2026";"1100";"22,3";"22,3";"20,2";"78,0";"86,0";"77,0";"18,2";"18,2";"17,7";"919,7";"919,7";"919,0";"2,3";"90,0";"5,3";"742,90";"0,2"
"02/04/2026";"1200";"23,2";"23,5";"22,3";"77,0";"78,0";"72,0";"18,9";"18,9";"17,9";"920,2";"920,2";"919,7";"1,9";"114,0";"5,3";"1648,40";"0,0"
"02/04/2026";"1300";"26,0";"26,2";"23,0";"65,0";"78,0";"61,0";"19,0";"20,0";"17,7";"920,5";"920,5";"920,2";"1,3";"58,0";"5,1";"2376,70";"0,0"
"02/04/2026";"1400";"26,3";"27,6";"24,4";"65,0";"71,0";"57,0";"19,2";"20,1";"16,9";"920,3";"920,6";"920,3";"1,3";"75,0";"4,9";"2009,90";"0,0"
"02/04/2026";"1500";"26,3";"27,3";"24,6";"65,0";"70,0";"58,0";"19,3";"20,1";"17,6";"919,8";"920,3";"919,8";"0,9";"105,0";"5,1";"1794,90";"0,0"
"02/04/2026";"1600";"25,7";"26,3";"25,1";"64,0";"72,0";"61,0";"18,5";"19,9";"17,3";"919,3";"919,9";"919,3";"0,5";"66,0";"2,9";"971,60";"0,0"
"02/04/2026";"1700";"25,0";"27,0";"24,9";"70,0";"70,0";"57,0";"19,1";"19,5";"17,5";"918,7";"919,3";"918,7";"1,3";"53,0";"4,1";"1100,10";"0,0"
"02/04/2026";"1800";"26,7";"28,9";"24,9";"58,0";"71,0";"53,0";"17,8";"20,6";"17,2";"918,1";"918,7";"918,1";"1,2";"72,0";"3,5";"1895,00";"0,0"
"02/04/2026";"1900";"27,1";"28,7";"25,9";"57,0";"64,0";"49,0";"17,9";"19,2";"16,7";"917,7";"918,1";"917,6";"2,2";"19,0";"4,6";"1400,70";"0,0"
"02/04/2026";"2000";"24,1";"27,1";"24,1";"71,0";"71,0";"57,0";"18,6";"18,9";"17,5";"918,0";"918,0";"917,7";"0,8";"52,0";"7,3";"600,00";"0,0"
"02/04/2026";"2100";"22,5";"24,1";"22,5";"80,0";"80,0";"69,0";"18,8";"18,8";"18,0";"918,4";"918,4";"918,0";"1,7";"36,0";"4,6";"78,50";"0,0"
"02/04/2026";"2200";"22,4";"22,8";"21,9";"74,0";"81,0";"73,0";"17,5";"18,7";"17,5";"919,1";"919,1";"918,4";"1,3";"105,0";"4,6";"";"0,0"
"02/04/2026";"2300";"21,8";"22,6";"21,6";"76,0";"76,0";"73,0";"17,3";"17,5";"17,0";"920,1";"920,1";"919,1";"1,8";"115,0";"4,7";"";"0,0"
"03/04/2026";"0000";"21,8";"21,9";"21,6";"78,0";"78,0";"75,0";"17,8";"17,8";"17,2";"920,8";"920,8";"920,0";"1,4";"118,0";"4,7";"";"0,0"
"03/04/2026";"0100";"21,8";"21,8";"21,5";"79,0";"80,0";"78,0";"17,9";"18,0";"17,8";"921,1";"921,1";"920,7";"0,9";"97,0";"4,4";"";"0,0"
"03/04/2026";"0200";"21,2";"21,8";"21,2";"81,0";"82,0";"79,0";"17,8";"18,0";"17,8";"921,0";"921,1";"920,8";"1,2";"100,0";"3,1";"";"0,0"
"03/04/2026";"0300";"21,2";"21,4";"21,0";"81,0";"82,0";"80,0";"17,8";"17,9";"17,7";"921,0";"921,1";"920,9";"1,1";"107,0";"3,7";"";"0,0"
"03/04/2026";"0400";"19,8";"21,2";"19,8";"86,0";"86,0";"80,0";"17,4";"17,7";"17,4";"920,7";"921,0";"920,7";"0,1";"347,0";"3,3";"";"0,0"
"03/04/2026";"0500";"20,4";"20,5";"19,6";"83,0";"87,0";"83,0";"17,5";"17,8";"17,3";"920,1";"920,7";"920,1";"0,1";"96,0";"1,9";"";"0,0"
"03/04/2026";"0600";"19,9";"20,8";"19,8";"82,0";"83,0";"79,0";"16,8";"17,5";"16,7";"919,8";"920,1";"919,7";"0,4";"97,0";"2,5";"";"0,0"
"03/04/2026";"0700";"19,6";"20,1";"19,5";"85,0";"85,0";"82,0";"17,0";"17,1";"16,7";"919,6";"919,9";"919,6";"0,4";"82,0";"2,9";"";"0,0"
"03/04/2026";"0800";"20,0";"20,2";"19,2";"83,0";"86,0";"82,0";"17,1";"17,2";"16,8";"919,8";"919,8";"919,6";"0,4";"109,0";"2,9";"";"0,0"
"03/04/2026";"0900";"20,1";"20,4";"19,9";"82,0";"84,0";"81,0";"16,9";"17,1";"16,9";"920,0";"920,0";"919,8";"0,4";"112,0";"2,2";"";"0,0"
"03/04/2026";"1000";"19,6";"20,1";"19,5";"87,0";"87,0";"82,0";"17,5";"17,5";"16,9";"920,6";"920,7";"920,0";"0,0";"131,0";"1,4";"63,50";"0,0"
"03/04/2026";"1100";"22,5";"22,5";"19,6";"76,0";"87,0";"76,0";"18,1";"18,4";"17,3";"921,4";"921,4";"920,6";"0,4";"88,0";"2,9";"462,50";"0,0"
"03/04/2026";"1200";"25,3";"25,6";"22,5";"60,0";"76,0";"60,0";"16,9";"18,5";"16,9";"922,0";"922,0";"921,4";"0,9";"100,0";"3,4";"1796,50";"0,0"
"03/04/2026";"1300";"25,9";"27,3";"24,9";"59,0";"64,0";"52,0";"17,4";"18,9";"15,7";"921,9";"922,0";"921,9";"1,2";"6,0";"3,1";"2378,10";"0,0"
"03/04/2026";"1400";"27,1";"27,4";"25,9";"54,0";"64,0";"52,0";"17,1";"19,0";"16,1";"921,6";"921,9";"921,6";"1,3";"359,0";"3,9";"2542,10";"0,0"
"03/04/2026";"1500";"28,2";"28,9";"26,9";"48,0";"60,0";"47,0";"16,1";"19,1";"16,1";"920,9";"921,6";"920,9";"1,3";"46,0";"4,1";"3152,80";"0,0"
"03/04/2026";"1600";"27,0";"29,2";"26,8";"59,0";"61,0";"47,0";"18,4";"19,5";"15,8";"920,1";"920,9";"920,1";"1,2";"47,0";"4,5";"2321,30";"0,0"
"03/04/2026";"1700";"29,7";"30,2";"27,0";"49,0";"62,0";"43,0";"17,8";"19,9";"15,7";"919,3";"920,1";"919,3";"1,1";"20,0";"3,3";"2470,70";"0,0"
"03/04/2026";"1800";"29,2";"30,0";"28,6";"50,0";"52,0";"40,0";"17,8";"18,2";"13,9";"918,5";"919,3";"918,5";"1,4";"21,0";"4,5";"2475,20";"0,0"
"03/04/2026";"1900";"27,5";"29,2";"26,6";"52,0";"57,0";"43,0";"16,6";"18,2";"15,2";"918,4";"918,6";"918,4";"1,0";"11,0";"4,2";"1353,70";"0,0"
"03/04/2026";"2000";"24,6";"27,6";"24,6";"68,0";"68,0";"51,0";"18,2";"18,2";"15,9";"918,5";"918,6";"918,3";"0,7";"23,0";"4,5";"495,90";"0,0"
"03/04/2026";"2100";"23,4";"24,8";"23,3";"73,0";"76,0";"66,0";"18,3";"18,9";"18,0";"918,9";"918,9";"918,4";"1,2";"22,0";"5,3";"82,50";"0,0"
"03/04/2026";"2200";"22,4";"23,6";"22,3";"79,0";"79,0";"72,0";"18,6";"18,6";"17,9";"919,6";"919,6";"918,9";"0,2";"230,0";"3,7";"";"0,0"
"03/04/2026";"2300";"23,9";"24,3";"22,4";"68,0";"79,0";"67,0";"17,6";"18,5";"17,6";"920,1";"920,2";"919,6";"1,4";"117,0";"3,1";"";"0,0"
"04/04/2026";"0000";"23,3";"23,9";"23,3";"72,0";"72,0";"68,0";"17,9";"17,9";"17,5";"920,6";"920,6";"920,1";"1,1";"104,0";"3,9";"";"0,0"
"04/04/2026";"0100";"23,0";"23,3";"22,8";"75,0";"75,0";"72,0";"18,3";"18,4";"17,9";"921,3";"921,3";"920,6";"1,6";"107,0";"4,4";"";"0,0"
"04/04/2026";"0200";"22,5";"23,1";"22,5";"78,0";"78,0";"75,0";"18,5";"18,5";"18,3";"921,7";"921,7";"921,3";"1,5";"105,0";"4,3";"";"0,0"
"04/04/2026";"0300";"22,2";"22,7";"22,1";"79,0";"79,0";"77,0";"18,4";"18,5";"18,3";"921,2";"921,8";"921,2";"1,5";"115,0";"3,9";"";"0,0"
"04/04/2026";"0400";"22,0";"22,5";"21,9";"78,0";"79,0";"77,0";"17,9";"18,4";"17,9";"920,5";"921,2";"920,5";"1,3";"106,0";"3,8";"";"0,0"
"04/04/2026";"0500";"21,6";"22,1";"20,9";"78,0";"81,0";"76,0";"17,7";"17,9";"17,5";"919,7";"920,5";"919,7";"0,7";"123,0";"3,6";"";"0,0"
"04/04/2026";"0600";"21,6";"21,9";"21,3";"74,0";"78,0";"74,0";"16,9";"17,7";"16,9";"919,2";"919,7";"919,2";"1,5";"114,0";"3,9";"";"0,0"
"04/04/2026";"0700";"21,7";"21,9";"21,4";"72,0";"74,0";"71,0";"16,4";"16,9";"16,3";"919,3";"919,4";"919,2";"1,4";"111,0";"3,9";"";"0,0"
"04/04/2026";"0800";"21,3";"21,7";"21,1";"74,0";"75,0";"72,0";"16,4";"16,6";"16,3";"919,4";"919,5";"919,3";"1,4";"109,0";"4,5";"";"0,0"
"04/04/2026";"0900";"20,7";"21,3";"20,7";"76,0";"77,0";"73,0";"16,4";"16,5";"16,3";"919,7";"919,7";"919,4";"1,0";"93,0";"3,6";"";"0,0"
"04/04/2026";"1000";"20,8";"20,8";"20,5";"77,0";"79,0";"76,0";"16,7";"16,7";"16,4";"920,2";"920,2";"919,7";"1,0";"103,0";"3,4";"93,00";"0,0"
"04/04/2026";"1100";"22,9";"22,9";"20,8";"71,0";"78,0";"71,0";"17,3";"17,4";"16,7";"920,7";"920,7";"920,1";"1,9";"97,0";"5,7";"882,50";"0,0"
"04/04/2026";"1200";"25,1";"25,3";"22,8";"61,0";"72,0";"61,0";"17,0";"18,3";"17,0";"921,3";"921,3";"920,7";"1,5";"63,0";"4,8";"1767,40";"0,0"
"04/04/2026";"1300";"25,9";"27,2";"24,6";"64,0";"70,0";"56,0";"18,7";"19,4";"17,1";"921,5";"921,5";"921,2";"1,1";"80,0";"4,9";"2186,90";"0,0"
"04/04/2026";"1400";"26,3";"26,5";"25,0";"63,0";"70,0";"59,0";"18,6";"20,0";"17,1";"921,3";"921,5";"921,3";"1,0";"75,0";"4,8";"1852,50";"0,0"
"04/04/2026";"1500";"26,1";"28,6";"25,3";"58,0";"68,0";"51,0";"17,1";"20,1";"16,3";"920,7";"921,3";"920,7";"1,3";"134,0";"5,1";"2308,40";"0,0"
"04/04/2026";"1600";"29,8";"30,0";"26,1";"49,0";"62,0";"44,0";"18,0";"19,9";"15,8";"919,8";"920,7";"919,8";"0,8";"28,0";"4,7";"3043,70";"0,0"
"04/04/2026";"1700";"28,3";"30,4";"27,0";"48,0";"54,0";"41,0";"16,2";"19,2";"14,8";"919,1";"919,8";"919,1";"1,7";"42,0";"4,6";"2695,60";"0,0"
"04/04/2026";"1800";"26,7";"29,7";"26,7";"57,0";"57,0";"42,0";"17,3";"17,7";"15,1";"918,5";"919,1";"918,4";"1,7";"5,0";"5,1";"2167,70";"0,0"
"04/04/2026";"1900";"26,6";"29,5";"26,2";"55,0";"62,0";"48,0";"17,0";"19,1";"15,9";"918,5";"918,5";"918,4";"1,3";"116,0";"5,1";"953,80";"0,0"
"04/04/2026";"2000";"25,3";"26,6";"25,3";"58,0";"62,0";"56,0";"16,4";"18,1";"16,4";"918,4";"918,5";"918,4";"2,0";"120,0";"5,7";"424,00";"0,0"
"04/04/2026";"2100";"25,0";"25,5";"24,9";"59,0";"60,0";"58,0";"16,5";"16,9";"16,3";"918,3";"918,4";"918,3";"1,1";"109,0";"4,4";"79,80";"0,0"
"04/04/2026";"2200";"24,8";"25,0";"24,0";"58,0";"65,0";"58,0";"16,0";"17,0";"16,0";"918,8";"918,8";"918,3";"1,0";"118,0";"3,2";"";"0,0"
"04/04/2026";"2300";"24,4";"24,8";"24,0";"61,0";"63,0";"58,0";"16,4";"16,7";"15,8";"919,5";"919,5";"918,8";"1,2";"112,0";"3,0";"";"0,0"
"05/04/2026";"0000";"23,8";"24,4";"23,6";"66,0";"66,0";"61,0";"17,0";"17,0";"16,3";"920,1";"920,1";"919,5";"2,0";"117,0";"5,3";"";"0,0"
"05/04/2026";"0100";"22,8";"23,8";"22,8";"75,0";"75,0";"66,0";"18,1";"18,1";"17,0";"920,1";"920,4";"920,1";"1,1";"82,0";"5,5";"";"0,0"
"05/04/2026";"0200";"22,5";"22,9";"22,5";"78,0";"78,0";"74,0";"18,4";"18,5";"18,1";"919,9";"920,2";"919,9";"1,2";"110,0";"4,5";"";"0,0"
"05/04/2026";"0300";"22,5";"22,7";"22,4";"77,0";"78,0";"76,0";"18,2";"18,5";"18,2";"919,6";"919,9";"919,6";"1,3";"113,0";"4,3";"";"0,0"
"05/04/2026";"0400";"21,9";"22,6";"21,8";"79,0";"80,0";"76,0";"18,1";"18,2";"18,0";"919,3";"919,6";"919,3";"1,7";"107,0";"4,7";"";"0,0"
"05/04/2026";"0500";"21,5";"22,0";"21,4";"81,0";"81,0";"79,0";"18,0";"18,2";"18,0";"919,1";"919,4";"919,1";"1,6";"103,0";"4,3";"";"0,0"
"05/04/2026";"0600";"21,2";"21,6";"21,1";"82,0";"82,0";"80,0";"17,9";"18,1";"17,9";"919,0";"919,2";"918,9";"1,2";"103,0";"4,3";"";"0,0"
"05/04/2026";"0700";"20,9";"21,2";"20,7";"82,0";"84,0";"82,0";"17,7";"18,0";"17,7";"918,9";"919,0";"918,8";"1,1";"108,0";"3,7";"";"0,0"
"05/04/2026";"0800";"20,6";"21,0";"20,6";"84,0";"84,0";"82,0";"17,8";"17,9";"17,7";"919,1";"919,1";"918,9";"1,0";"102,0";"2,8";"";"0,0"
"05/04/2026";"0900";"20,4";"20,8";"20,4";"84,0";"85,0";"83,0";"17,7";"17,9";"17,7";"919,5";"919,5";"919,1";"0,7";"121,0";"2,5";"";"0,0"
"05/04/2026";"1000";"21,3";"21,3";"20,1";"82,0";"86,0";"82,0";"18,1";"18,1";"17,6";"920,2";"920,2";"919,5";"0,9";"97,0";"2,8";"64,60";"0,0"
"05/04/2026";"1100";"23,6";"23,6";"21,2";"72,0";"83,0";"72,0";"18,2";"18,8";"17,9";"921,0";"921,0";"920,2";"0,5";"117,0";"3,2";"779,70";"0,0"
"05/04/2026";"1200";"26,2";"26,2";"23,5";"62,0";"73,0";"62,0";"18,4";"19,2";"17,7";"921,4";"921,4";"921,0";"1,0";"55,0";"4,4";"1675,80";"0,0"
"05/04/2026";"1300";"27,3";"27,6";"25,7";"58,0";"65,0";"55,0";"18,4";"19,6";"16,5";"921,2";"921,4";"921,2";"0,7";"27,0";"3,4";"2424,80";"0,0"
"05/04/2026";"1400";"26,0";"28,2";"25,2";"63,0";"70,0";"53,0";"18,5";"19,8";"16,9";"920,7";"921,2";"920,7";"0,3";"71,0";"3,5";"1608,20";"0,0"
"05/04/2026";"1500";"28,7";"29,3";"25,5";"57,0";"67,0";"50,0";"19,4";"20,3";"16,9";"919,9";"920,7";"919,9";"0,9";"360,0";"5,4";"3046,80";"0,0"
"05/04/2026";"1600";"28,3";"30,2";"28,3";"51,0";"58,0";"47,0";"17,1";"19,8";"16,9";"919,1";"920,0";"919,1";"1,1";"39,0";"5,0";"3053,80";"0,0"
"05/04/2026";"1700";"30,3";"30,6";"28,3";"45,0";"56,0";"43,0";"17,2";"19,6";"16,2";"918,0";"919,1";"918,0";"0,9";"49,0";"5,1";"3147,20";"0,0"
"05/04/2026";"1800";"30,3";"31,3";"28,6";"46,0";"51,0";"38,0";"17,2";"19,0";"14,3";"917,6";"918,1";"917,6";"1,2";"2,0";"4,7";"2854,50";"0,0"
"05/04/2026";"1900";"24,3";"30,9";"24,3";"70,0";"70,0";"42,0";"18,4";"18,5";"15,8";"918,1";"918,1";"917,5";"1,3";"153,0";"5,1";"817,60";"0,0"
"05/04/2026";"2000";"21,7";"24,3";"21,2";"91,0";"91,0";"70,0";"20,2";"20,2";"18,4";"918,3";"918,4";"918,1";"0,4";"183,0";"6,4";"89,00";"3,0"
"05/04/2026";"2100";"21,8";"22,0";"21,2";"88,0";"91,0";"87,0";"19,6";"20,2";"19,5";"918,2";"918,5";"918,1";"0,4";"189,0";"3,2";"29,20";"0,0"
"05/04/2026";"2200";"22,0";"22,1";"21,5";"86,0";"89,0";"86,0";"19,6";"20,0";"19,5";"918,8";"918,8";"918,1";"0,4";"171,0";"2,2";"";"0,0"
"05/04/2026";"2300";"23,4";"23,4";"21,8";"74,0";"87,0";"74,0";"18,6";"19,6";"18,5";"919,2";"919,2";"918,8";"1,3";"115,0";"4,3";"";"0,0"
"06/04/2026";"0000";"22,0";"23,4";"22,0";"80,0";"80,0";"74,0";"18,4";"18,6";"18,3";"919,4";"919,5";"919,2";"0,0";"84,0";"4,3";"";"0,0"
"06/04/2026";"0100";"22,2";"22,9";"22,0";"80,0";"82,0";"77,0";"18,7";"18,8";"18,4";"919,9";"919,9";"919,4";"0,3";"118,0";"2,5";"";"0,0"
"06/04/2026";"0200";"22,0";"22,6";"21,5";"80,0";"84,0";"79,0";"18,5";"18,8";"18,5";"919,9";"920,0";"919,7";"0,9";"105,0";"3,3";"";"0,0"
"06/04/2026";"0300";"21,8";"22,1";"21,7";"79,0";"81,0";"79,0";"17,9";"18,6";"17,9";"919,9";"920,0";"919,9";"1,0";"113,0";"3,2";"";"0,0"
"06/04/2026";"0400";"21,2";"22,0";"21,1";"82,0";"83,0";"78,0";"18,0";"18,2";"17,8";"920,1";"920,1";"919,9";"0,5";"111,0";"2,9";"";"0,0"
"06/04/2026";"0500";"19,7";"21,2";"19,6";"89,0";"89,0";"82,0";"17,9";"18,2";"17,6";"919,8";"920,2";"919,8";"0,0";"64,0";"1,8";"";"0,0"
"06/04/2026";"0600";"21,0";"21,2";"19,7";"83,0";"90,0";"82,0";"18,0";"18,8";"17,9";"919,4";"919,8";"919,3";"0,6";"104,0";"2,9";"";"0,0"
"06/04/2026";"0700";"20,6";"21,0";"20,5";"85,0";"85,0";"83,0";"17,9";"18,1";"17,8";"919,6";"919,6";"919,3";"1,0";"106,0";"3,9";"";"0,0"
"06/04/2026";"0800";"20,7";"20,8";"20,5";"83,0";"85,0";"83,0";"17,7";"17,9";"17,7";"919,9";"919,9";"919,6";"0,7";"113,0";"3,4";"";"0,0"
"06/04/2026";"0900";"20,7";"20,8";"20,5";"83,0";"84,0";"82,0";"17,7";"17,8";"17,6";"920,2";"920,2";"919,8";"0,8";"106,0";"3,0";"";"0,0"
"06/04/2026";"1000";"21,0";"21,1";"20,5";"83,0";"83,0";"82,0";"18,0";"18,0";"17,6";"921,2";"921,2";"920,2";"0,3";"109,0";"3,2";"125,20";"0,0"
"06/04/2026";"1100";"22,1";"22,1";"21,0";"81,0";"84,0";"80,0";"18,7";"18,7";"18,0";"921,8";"921,8";"921,2";"1,2";"92,0";"3,9";"421,20";"0,0"
"06/04/2026";"1200";"24,1";"24,5";"22,0";"75,0";"82,0";"70,0";"19,3";"19,6";"18,4";"921,9";"921,9";"921,7";"1,6";"109,0";"4,7";"1476,40";"0,0"
"06/04/2026";"1300";"24,7";"26,6";"24,0";"67,0";"74,0";"61,0";"18,3";"20,1";"17,7";"921,9";"922,0";"921,8";"1,7";"68,0";"6,0";"1953,20";"0,0"
"06/04/2026";"1400";"24,9";"27,7";"24,6";"69,0";"73,0";"60,0";"18,7";"21,1";"18,2";"921,5";"921,9";"921,5";"1,4";"82,0";"6,7";"1554,50";"0,0"
"06/04/2026";"1500";"26,5";"28,5";"24,5";"64,0";"73,0";"54,0";"19,0";"20,8";"16,9";"920,8";"921,5";"920,8";"0,9";"68,0";"5,5";"2011,00";"0,0"
"06/04/2026";"1600";"28,7";"29,4";"26,4";"59,0";"66,0";"51,0";"19,9";"20,7";"17,7";"920,2";"920,8";"920,2";"1,7";"29,0";"6,4";"2706,00";"0,0"
"06/04/2026";"1700";"28,7";"29,2";"26,2";"51,0";"61,0";"47,0";"17,6";"19,6";"16,2";"919,5";"920,2";"919,5";"1,2";"47,0";"6,0";"2645,80";"0,0"
"06/04/2026";"1800";"27,1";"29,9";"26,4";"61,0";"61,0";"46,0";"18,8";"19,4";"16,6";"918,9";"919,5";"918,9";"0,8";"58,0";"5,2";"1857,70";"0,0"
